veh_id,time_detector_sim,speed_detector_sim,speed_factor,time_detector_real,depart,departSpeed,speed_detector_real,delta_time,delta_speed
0_w2e_in,1577836811.1,10.262976438951462,1.232050226254171,1577836811,1577836769,max,9.166666666666666,0.09999990463256836,1.0963097722847959
1_w2e_in,1577836814.21,9.816909419009345,1.178500696196346,1577836814,1577836770,max,7.5,0.21000003814697266,2.3169094190093453
2_w2e_in,1577836815.25,10.04948666035724,1.2064207142450631,1577836815,1577836770,max,8.88888888888889,0.25,1.1605977714683515
3_w2e_in,1577836826.09,11.093025494653835,1.3316955891426243,1577836826,1577836787,max,11.11111111111111,0.08999991416931152,-0.018085616457275577
4_w2e_in,1577836846.84,8.030520039602967,0.9640480239619409,1577836847,1577836793,max,7.777777777777778,-0.16000008583068848,0.25274226182518955
5_w2e_in,1577836849.13,7.932750883906156,0.9523109731792837,1577836849,1577836793,max,6.666666666666666,0.13000011444091797,1.2660842172394897
6_w2e_in,1577836880.1,10.053085263350651,1.2068529957373797,1577836880,1577836837,max,10.0,0.09999990463256836,0.05308526335065089
7_w2e_in,1577836884.26,9.369187124444345,1.1247524719401527,1577836884,1577836838,max,7.5,0.25999999046325684,1.8691871244443448
8_w2e_in,1577836906.1,9.786984021351532,1.1749075573364824,1577836906,1577836862,max,9.722222222222221,0.09999990463256836,0.06476179912931102
9_w2e_in,1577836932.01,9.646176122637847,1.1580043408482594,1577836932,1577836887,max,9.166666666666666,0.009999990463256836,0.479509455971181
10_w2e_in,1577836934.25,9.458342785728815,1.1354551621748046,1577836934,1577836887,max,7.5,0.25,1.9583427857288154
11_w2e_in,1577836937.02,8.473077807276299,2.2043506947199147,1577836936,1577836903,max,8.61111111111111,1.0199999809265137,-0.1380333038348116
12_w2e_in,1577836937.42,9.376115484625537,1.9492960580894207,1577836939,1577836903,max,6.388888888888888,-1.5799999237060547,2.987226595736648
13_w2e_in,1577836943.16,11.312237745829151,1.3580114408970938,1577836943,1577836904,max,10.555555555555555,0.16000008583068848,0.7566821902735956
14_w2e_in,1577836946.09,10.894369676262748,1.3078476411623132,1577836945,1577836904,max,9.166666666666666,1.0899999141693115,1.7277030095960821
15_w2e_in,1577836948.21,10.713009718657013,1.2860759151744139,1577836947,1577836905,max,7.777777777777778,1.2100000381469727,2.935231940879235
16_w2e_in,1577836953.1,9.695109294379417,1.1638785908553173,1577836953,1577836907,max,8.61111111111111,0.09999990463256836,1.0839981832683065
17_w2e_in,1577836960.1,9.787596089539045,1.1749811791562217,1577836960,1577836916,max,9.444444444444445,0.09999990463256836,0.3431516450946006
18_w2e_in,1577836962.33,9.653751432766978,1.1589138483656547,1577836962,1577836916,max,8.88888888888889,0.3299999237060547,0.7648625438780883
19_w2e_in,1577836964.14,9.602313545698342,1.1527389911208483,1577836964,1577836916,max,8.88888888888889,0.1400001049041748,0.7134246568094529
20_w2e_in,1577836978.11,8.953399163299958,1.0748375865006066,1577836978,1577836930,max,9.166666666666666,0.1099998950958252,-0.2132675033667084
21_w2e_in,1577837006.09,11.693597536325868,1.403793102312606,1577837006,1577836969,max,11.666666666666666,0.08999991416931152,0.02693086965920166
22_w2e_in,1577837011.1,10.524970778635808,1.2635015944813621,1577837011,1577836969,max,10.0,0.09999990463256836,0.524970778635808
23_w2e_in,1577837014.1,10.140565025951583,1.217354280609421,1577837013,1577836969,max,7.777777777777778,1.0999999046325684,2.362787248173805
24_w2e_in,1577837015.47,10.25631595575383,1.2312503761360607,1577837015,1577836971,max,8.333333333333334,0.4700000286102295,1.9229826224204967
25_w2e_in,1577837018.64,9.151198371338221,2.908055672971597,1577837017,1577836971,max,7.222222222222222,1.6400001049041748,1.9289761491159991
26_w2e_in,1577837018.97,8.971783850955866,2.1338215925073065,1577837020,1577836978,max,8.333333333333334,-1.0299999713897705,0.6384505176225321
27_w2e_in,1577837022.55,9.933182803745598,1.1924589200174789,1577837022,1577836978,max,8.61111111111111,0.5499999523162842,1.3220716926344878
28_w2e_in,1577837024.21,9.994519378049489,1.1998220377769546,1577837024,1577836979,max,9.444444444444445,0.21000003814697266,0.5500749336050443
29_w2e_in,1577837025.28,10.401580012955154,1.2486893921652542,1577837025,1577836979,max,8.333333333333334,0.2799999713897705,2.0682466796218204
30_w2e_in,1577837035.97,12.85227325856677,1.5428899470068151,1577837036,1577837002,max,11.11111111111111,-0.029999971389770508,1.7411621474556593
31_w2e_in,1577837042.17,11.01786793176457,1.3226733702847107,1577837042,1577837002,max,10.277777777777777,0.1700000762939453,0.7400901539867935
32_w2e_in,1577837064.08,11.962289291874676,1.4360495635646306,1577837064,1577837028,max,11.944444444444445,0.07999992370605469,0.01784484743023107
33_w2e_in,1577837069.09,10.830108721866093,1.300132804903549,1577837069,1577837028,max,10.833333333333334,0.08999991416931152,-0.0032246114672407344
34_w2e_in,1577837091.97,9.233316988934856,1.108441415238278,1577837092,1577837045,max,9.166666666666666,-0.029999971389770508,0.06665032226819001
35_w2e_in,1577837095.11,8.892861716482024,1.067570628917731,1577837095,1577837046,max,8.61111111111111,0.1099998950958252,0.2817506053709131
36_w2e_in,1577837098.12,8.613170583451755,1.0339942119989634,1577837098,1577837047,max,8.055555555555555,0.11999988555908203,0.5576150278961993
37_w2e_in,1577837131.08,11.981658022444126,1.4383737350885148,1577837131,1577837095,max,11.944444444444445,0.07999992370605469,0.03721357799968139
38_w2e_in,1577837134.25,11.33694950584862,1.3609786508848774,1577837133,1577837095,max,8.61111111111111,1.25,2.7258383947375098
