veh_id,time_detector_sim,speed_detector_sim,speed_factor,time_detector_real,depart,departSpeed,speed_detector_real,delta_time,delta_speed
0_e2w_out,1577836849.41,8.031646488627398,0.9641832519360622,1577836850,1577836820,max,7.777777777777778,-0.5899999141693115,0.2538687108496207
1_e2w_out,1577836881.06,11.216630002658208,1.346533996521353,1577836881,1577836860,max,11.11111111111111,0.059999942779541016,0.10551889154709748
2_e2w_out,1577836917.27,4.998,0.6,1577836917,1577836870,max,3.611111111111111,0.26999998092651367,1.386888888888889
3_e2w_out,1577836952.95,9.10524968992556,1.0930671896669342,1577836953,1577836927,max,9.166666666666666,-0.04999995231628418,-0.061416976741105245
4_e2w_out,1577836960.53,10.03827769385825,1.2050753534043517,1577836960,1577836937,max,9.722222222222221,0.5299999713897705,0.31605547163602843
5_e2w_out,1577836963.96,8.981087255353321,2.523284886106568,1577836962,1577836940,max,8.88888888888889,1.9600000381469727,0.09219836646443191
6_e2w_out,1577837302.31,12.234412318232678,1.4687170378927892,1577837303,1577837283,max,10.277777777777777,-0.690000057220459,1.9566345404549015
7_e2w_out,1577837331.02,9.442640902177368,1.133570359936151,1577837331,1577837306,max,9.444444444444445,0.019999980926513672,-0.0018035422670763523
8_e2w_out,1577837464.97,9.854655200787933,1.1830318368292836,1577837465,1577837441,max,9.166666666666666,-0.029999971389770508,0.687988534121267
9_e2w_out,1577837561.24,11.122854881927015,1.335277217415789,1577837561,1577837540,max,11.11111111111111,0.24000000953674316,0.011743770815904497
10_e2w_out,1577837743.71,18.590026114567248,2.2316958987140216,1577837744,1577837731,max,18.88888888888889,-0.28999996185302734,-0.2988627743216412
11_e2w_out,1577837859.86,8.794959971775809,1.055817523622546,1577837860,1577837833,max,8.333333333333334,-0.1400001049041748,0.46162663844247476
12_e2w_out,1577837943.16,10.661146521423944,1.2798496792522953,1577837943,1577837921,max,10.555555555555555,0.16000008583068848,0.10559096586838912
13_e2w_out,1577838042.39,8.321886443252579,0.9990260173001202,1577838042,1577838014,max,7.222222222222222,0.3900001049041748,1.0996642210303564
14_e2w_out,1577838123.76,8.511069474502232,1.021737031752969,1577838124,1577838096,max,8.61111111111111,-0.24000000953674316,-0.10004163660887855
15_e2w_out,1577838130.94,14.819816698952003,1.7790896397301323,1577838131,1577838115,max,15.0,-0.059999942779541016,-0.18018330104799674
16_e2w_out,1577838363.76,8.827099790083233,1.0596758451480472,1577838364,1577838337,max,8.055555555555555,-0.24000000953674316,0.7715442345276777
17_e2w_out,1577838400.04,7.865737799238313,0.9442660683852762,1577838400,1577838370,max,8.055555555555555,0.039999961853027344,-0.1898177563172423
18_e2w_out,1577838922.14,14.638751978042766,1.7573542237346267,1577838924,1577838906,max,13.61111111111111,-1.8599998950958252,1.0276408669316552
19_e2w_out,1577838936.94,8.456536889459251,1.0151905029362847,1577838937,1577838909,max,8.333333333333334,-0.059999942779541016,0.12320355612591705
20_e2w_out,1577838940.53,9.834483877764173,1.2700959230637636,1577838938,1577838916,max,8.61111111111111,2.5299999713897705,1.2233727666530623
21_e2w_out,1577838976.18,12.994698398614,1.5599874649967371,1577838976,1577838958,max,12.777777777777777,0.18000006675720215,0.21692062083622332
22_e2w_out,1577839301.67,10.420063843276532,1.250908024402945,1577839302,1577839279,max,10.277777777777777,-0.3299999237060547,0.14228606549875522
23_e2w_out,1577839363.15,13.017921467336821,1.5627753059346272,1577839363,1577839345,max,12.777777777777777,0.15000009536743164,0.2401436895590443
24_e2w_out,1577839466.21,11.687230689323872,1.4030292187771858,1577839466,1577839446,max,11.11111111111111,0.21000003814697266,0.5761195782127615
25_e2w_out,1577839471.03,9.877033487640002,1.1857182502360981,1577839471,1577839447,max,9.722222222222221,0.029999971389770508,0.15481126541778067
26_e2w_out,1577839506.95,6.570800166383938,0.7888115445839061,1577839507,1577839471,max,6.666666666666666,-0.04999995231628418,-0.09586650028272814
27_e2w_out,1577839515.77,8.210899338818828,0.985702201538875,1577839517,1577839487,max,6.944444444444445,-1.2300000190734863,1.2664548943743839
28_e2w_out,1577839542.16,6.358015521286136,0.7632671182664071,1577839542,1577839505,max,6.388888888888888,0.16000008583068848,-0.03087336760275239
29_e2w_out,1577839685.45,10.073182587577982,1.2092657482630405,1577839686,1577839662,max,8.88888888888889,-0.5499999523162842,1.1842936986890926
30_e2w_out,1577839821.32,10.131565534690004,1.2162740994210095,1577839822,1577839798,max,10.0,-0.6800000667572021,0.13156553469000443
31_e2w_out,1577839877.69,6.8097512223153585,0.8174971455360575,1577839878,1577839843,max,6.944444444444445,-0.309999942779541,-0.1346932221290862
32_e2w_out,1577840050.27,4.998,0.6,1577840050,1577840003,max,3.611111111111111,0.26999998092651367,1.386888888888889
33_e2w_out,1577840112.92,9.876034593662236,1.1855983905957066,1577840113,1577840089,max,9.722222222222221,-0.07999992370605469,0.15381237144001503
34_e2w_out,1577840162.03,11.796664322880044,1.4161660720320408,1577840162,1577840142,max,11.666666666666666,0.029999971389770508,0.12999765621337822
35_e2w_out,1577840171.0,10.271441242749413,1.2330657036484207,1577840171,1577840148,max,10.277777777777777,0.0,-0.006336535028363954
36_e2w_out,1577840245.45,10.076672296445071,1.2096847057759423,1577840245,1577840222,max,8.61111111111111,0.4500000476837158,1.4655611853339607
37_e2w_out,1577840248.12,10.801498605744518,1.9550603983731047,1577840246,1577840228,max,8.88888888888889,2.119999885559082,1.9126097168556289
38_e2w_out,1577840399.98,13.91511761839314,1.6704823071300288,1577840400,1577840383,max,13.61111111111111,-0.019999980926513672,0.30400650728202905
