veh_id,time_detector_sim,speed_detector_sim,speed_factor,time_detector_real,depart,departSpeed,speed_detector_real,delta_time,delta_speed
0_e2w_in,1577836818.13,9.041907518812229,1.085462767606574,1577836818,1577836792,max,8.88888888888889,0.13000011444091797,0.1530186299233396
1_e2w_in,1577836820.66,8.825817876631916,1.059521953977421,1577836820,1577836792,max,7.5,0.6600000858306885,1.3258178766319162
2_e2w_in,1577836827.99,10.274265824181002,1.2334052610061228,1577836828,1577836805,max,10.277777777777777,-0.009999990463256836,-0.0035119535967744753
3_e2w_in,1577836837.88,13.215026254586995,1.5864377256406956,1577836838,1577836820,max,13.333333333333332,-0.11999988555908203,-0.11830707874633717
4_e2w_in,1577836843.99,10.277139322720036,1.2337502188139298,1577836844,1577836820,max,10.277777777777777,-0.009999990463256836,-0.0006384550577411829
5_e2w_in,1577836855.99,9.455491903056638,1.135113073596235,1577836856,1577836831,max,9.444444444444445,-0.009999990463256836,0.01104745861219314
6_e2w_in,1577836859.0,9.041240935702769,1.0853828989205807,1577836859,1577836832,max,8.88888888888889,0.0,0.15235204681387948
7_e2w_in,1577836865.12,12.35297374667931,1.4829495409876399,1577836865,1577836846,max,12.222222222222221,0.11999988555908203,0.13075152445708937
8_e2w_in,1577836882.97,12.454838410947477,1.4951786807860117,1577836883,1577836864,max,12.5,-0.029999971389770508,-0.045161589052522544
9_e2w_in,1577836885.01,12.489597223305793,1.4993512809054468,1577836885,1577836866,max,12.5,0.009999990463256836,-0.01040277669420675
10_e2w_in,1577836889.05,10.856594113429468,1.3033126584723407,1577836889,1577836866,max,10.833333333333334,0.04999995231628418,0.02326078009613397
11_e2w_in,1577836896.06,10.710755485097705,1.2858048638015576,1577836896,1577836874,max,10.833333333333334,0.059999942779541016,-0.122577848235629
12_e2w_in,1577836900.11,9.55729288906004,1.147334171001799,1577836900,1577836874,max,9.166666666666666,0.1099998950958252,0.3906262223933741
13_e2w_in,1577836902.94,11.284412224581617,1.3546713354839877,1577836903,1577836882,max,11.38888888888889,-0.059999942779541016,-0.10447666430727232
14_e2w_in,1577836908.21,9.415305654251217,1.1302887275507518,1577836908,1577836883,max,8.333333333333334,0.21000003814697266,1.0819723209178829
